지점,일시,평균 오존전량(DU)
132,2013-10-14,288.3
132,2013-10-15,287.8
132,2013-10-16,297.8
132,2013-10-17,283.4
132,2013-10-18,285.4
132,2013-10-19,279.4
132,2013-10-20,280.4
132,2013-10-21,266.6
132,2013-10-22,265.4
132,2013-10-23,261.8
132,2013-10-24,264.7
132,2013-10-25,267.4
132,2013-10-26,291.1
132,2013-10-27,301.7
132,2013-10-28,281.8
132,2013-10-29,294.6
132,2013-10-30,281.6
132,2013-10-31,277
132,2013-11-01,270.8
132,2013-11-02,
132,2013-11-03,273.5
132,2013-11-04,284
132,2013-11-05,268.1
132,2013-11-06,
132,2013-11-07,294.6
132,2013-11-08,295.9
132,2013-11-09,300.6
132,2013-11-10,287.4
132,2013-11-11,305.6
132,2013-11-12,297
132,2013-11-13,285.2
132,2013-11-14,
132,2013-11-15,293.7
132,2013-11-16,304.3
132,2013-11-17,313.1
132,2013-11-18,331.4
132,2013-11-19,
132,2013-11-20,322.5
132,2013-11-21,
132,2013-11-22,335.7
132,2013-11-23,319.3
132,2013-11-24,
132,2013-11-25,338.9
132,2013-11-26,341.6
132,2013-11-27,
132,2013-11-28,369.2
132,2013-11-29,324.8
132,2013-11-30,
132,2013-12-01,367.7
132,2013-12-02,347
132,2013-12-03,
132,2013-12-04,334.4
132,2013-12-05,
132,2013-12-06,332
132,2013-12-07,354.8
132,2013-12-08,329.2
132,2013-12-09,
132,2013-12-10,
132,2013-12-11,
132,2013-12-12,
132,2013-12-13,310.9
132,2013-12-14,310.2
132,2013-12-15,276.8
132,2013-12-16,
132,2013-12-17,
132,2013-12-18,336.1
132,2013-12-19,
132,2013-12-20,
132,2013-12-21,335.9
132,2013-12-22,
132,2013-12-23,311.6
132,2013-12-24,319.1
132,2013-12-25,334
132,2013-12-26,
132,2013-12-27,359.5
132,2013-12-28,
132,2013-12-29,353
132,2013-12-30,322.4
132,2013-12-31,321.5
132,2014-01-01,380.5
132,2014-01-02,325.4
132,2014-01-03,321.5
132,2014-01-04,314.3
132,2014-01-05,309.4
132,2014-01-06,304.4
132,2014-01-07,302.9
132,2014-01-08,298.6
132,2014-01-09,351.5
132,2014-01-10,
132,2014-01-11,
132,2014-01-12,
132,2014-01-13,320.9
132,2014-01-14,
132,2014-01-15,334.7
132,2014-01-16,
132,2014-01-17,
132,2014-01-18,322
132,2014-01-19,336.8
132,2014-01-20,342.3
132,2014-01-21,
132,2014-01-22,356
132,2014-01-23,
132,2014-01-24,332.3
132,2014-01-25,
132,2014-01-26,333.4
132,2014-01-27,
132,2014-01-28,310.5
132,2014-01-29,311.1
132,2014-01-30,
132,2014-01-31,338
132,2014-02-01,
132,2014-02-02,
132,2014-02-03,357
132,2014-02-04,399.9
132,2014-02-05,320.1
132,2014-02-06,330.9
132,2014-02-07,332.3
132,2014-02-08,
132,2014-02-09,
132,2014-02-10,357.2
132,2014-02-11,339.3
132,2014-02-12,330.5
132,2014-02-13,
132,2014-02-14,346.3
132,2014-02-15,367.6
132,2014-02-16,330.3
132,2014-02-17,297.6
132,2014-02-18,301.8
132,2014-02-19,390.5
132,2014-02-20,442.8
132,2014-02-21,359.6
132,2014-02-22,375.1
132,2014-02-23,
132,2014-02-24,373.5
132,2014-02-25,353.5
132,2014-02-26,331.7
132,2014-02-27,316.7
132,2014-02-28,310.5
132,2014-03-01,
132,2014-03-02,336.9
132,2014-03-03,345.7
132,2014-03-04,328.4
132,2014-03-05,356.5
132,2014-03-06,353.1
132,2014-03-07,388.4
132,2014-03-08,398.1
132,2014-03-09,387.7
132,2014-03-10,401.5
132,2014-03-11,377.9
132,2014-03-12,
132,2014-03-13,
132,2014-03-14,419.4
132,2014-03-15,334.6
132,2014-03-16,345.6
132,2014-03-17,329.1
132,2014-03-18,359.8
