지점,일시,평균 오존전량(DU)
132,2018-01-01,-999
132,2018-01-02,-999
132,2018-01-03,-999
132,2018-01-04,-999
132,2018-01-05,-999
132,2018-01-06,-999
132,2018-01-07,-999
132,2018-01-08,-999
132,2018-01-09,-999
132,2018-01-10,-999
132,2018-01-11,-999
132,2018-01-12,-999
132,2018-01-13,-999
132,2018-01-14,-999
132,2018-01-15,-999
132,2018-01-16,-999
132,2018-01-17,-999
132,2018-01-18,-999
132,2018-01-19,-999
132,2018-01-20,-999
132,2018-01-21,-999
132,2018-01-22,-999
132,2018-01-23,-999
132,2018-01-24,-999
132,2018-01-25,-999
132,2018-01-26,-999
132,2018-01-27,-999
132,2018-01-28,-999
132,2018-01-29,377.9
132,2018-01-30,378.1
132,2018-01-31,371.8
132,2018-02-01,376.2
132,2018-02-02,353.2
132,2018-02-03,383
132,2018-02-04,399.4
132,2018-02-05,469.8
132,2018-02-06,469.2
132,2018-02-07,452.3
132,2018-02-08,395.9
132,2018-02-09,323.3
132,2018-02-10,302.2
132,2018-02-11,350.9
132,2018-02-12,395.4
132,2018-02-13,401.7
132,2018-02-14,376.3
132,2018-02-15,352.5
132,2018-02-16,362.6
132,2018-02-17,393.9
132,2018-02-18,329.2
132,2018-02-19,330.6
132,2018-02-20,377.3
132,2018-02-21,395.2
132,2018-02-22,406.3
132,2018-02-23,404.3
132,2018-02-24,385.2
132,2018-02-25,383.4
132,2018-02-26,384.5
132,2018-02-27,369.5
132,2018-02-28,-999
132,2018-03-01,310.8
132,2018-03-02,350.9
132,2018-03-03,358.2
132,2018-03-04,320.5
132,2018-03-05,312.8
132,2018-03-06,307.4
132,2018-03-07,335
132,2018-03-08,384.3
132,2018-03-09,372.8
132,2018-03-10,341.9
132,2018-03-11,343.4
132,2018-03-12,356.1
132,2018-03-13,349.4
132,2018-03-14,346.9
132,2018-03-15,-999
132,2018-03-16,340.9
132,2018-03-17,343.7
132,2018-03-18,-999
132,2018-03-19,-999
132,2018-03-20,312.6
132,2018-03-21,-999
132,2018-03-22,391.8
132,2018-03-23,419.4
132,2018-03-24,394.1
132,2018-03-25,-999
132,2018-03-26,369.5
132,2018-03-27,398.5
132,2018-03-28,369.4
132,2018-03-29,-999
132,2018-03-30,365
132,2018-03-31,352.3
132,2018-04-01,-999
132,2018-04-02,372.3
132,2018-04-03,349.6
132,2018-04-04,343.8
132,2018-04-05,-999
132,2018-04-06,328.1
132,2018-04-07,462.5
132,2018-04-08,453.3
132,2018-04-09,421.9
132,2018-04-10,367.2
132,2018-04-11,386.6
132,2018-04-12,366.5
132,2018-04-13,344.5
132,2018-04-14,319
132,2018-04-15,321.6
132,2018-04-16,354
132,2018-04-17,382.3
132,2018-04-18,363.1
132,2018-04-19,362.9
132,2018-04-20,339.3
