지점,일시,평균 오존전량(DU)
132,2019-01-01,326.1
132,2019-01-02,307.5
132,2019-01-03,305.1
132,2019-01-04,272.4
132,2019-01-05,260.6
132,2019-01-06,331.3
132,2019-01-07,292.1
132,2019-01-08,267.8
132,2019-01-09,255.2
132,2019-01-10,-999
132,2019-01-11,256.1
132,2019-01-12,277.8
132,2019-01-13,302.9
132,2019-01-14,310.2
132,2019-01-15,292.6
132,2019-01-16,278.4
132,2019-01-17,340.7
132,2019-01-18,319.7
132,2019-01-19,283
132,2019-01-20,295.2
132,2019-01-21,352.6
132,2019-01-22,-999
132,2019-01-23,301
132,2019-01-24,-999
132,2019-01-25,298.3
132,2019-01-26,304.1
132,2019-01-27,299.5
132,2019-01-28,269.5
132,2019-01-29,246.5
132,2019-01-30,268.2
132,2019-01-31,336.9
132,2019-02-01,346
132,2019-02-02,314.4
132,2019-02-03,-999
132,2019-02-04,294.6
132,2019-02-05,308.9
132,2019-02-06,331.5
132,2019-02-07,335.1
132,2019-02-08,331.1
132,2019-02-09,323.9
132,2019-02-10,279.9
132,2019-02-11,285.9
132,2019-02-12,313.5
132,2019-02-13,296.4
132,2019-02-14,303.1
132,2019-02-15,284.8
132,2019-02-16,303.1
132,2019-02-17,294.8
132,2019-02-18,263.7
132,2019-02-19,-999
132,2019-02-20,257
132,2019-02-21,283.3
132,2019-02-22,312.6
132,2019-02-23,337.8
132,2019-02-24,319.4
132,2019-02-25,-999
132,2019-02-26,322.9
132,2019-02-27,313.6
132,2019-02-28,319.2
132,2019-03-01,310.5
132,2019-03-02,318.3
132,2019-03-03,335.1
132,2019-03-04,370.9
132,2019-03-05,332.3
132,2019-03-06,315.6
132,2019-03-07,349
132,2019-03-08,343.9
132,2019-03-09,321.7
132,2019-03-10,345.9
132,2019-03-11,366
132,2019-03-12,437.2
132,2019-03-13,417.3
132,2019-03-14,397.3
132,2019-03-15,461.7
132,2019-03-16,361.8
132,2019-03-17,380
132,2019-03-18,358.9
132,2019-03-19,297.3
132,2019-03-20,-999
132,2019-03-21,297.2
132,2019-03-22,327.7
132,2019-03-23,364.9
132,2019-03-24,343.6
132,2019-03-25,356.3
132,2019-03-26,-999
132,2019-03-27,365
132,2019-03-28,336.8
132,2019-03-29,340.5
132,2019-03-30,378.2
132,2019-03-31,344.7
132,2019-04-01,385.9
132,2019-04-02,374.8
